Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
"Shield Air Solutions, Inc.",https://www.crunchbase.com/organization/shield-air-solutions-inc,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Renewable Energy",Shield Air Solutions is an oil & energy company providing explosion proof environmental control systems.,"387,853",,"367,418"
Enuit,https://www.crunchbase.com/organization/enuit,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Enterprise Software, Risk Management, Software, Trading Platform",Enuit is a software company that builds state-of-the-art enterprise applications for energy commodity trading and risk management business.,"388,957",,"368,475"
Softway,https://www.crunchbase.com/organization/softway-26c9,101-250,High,Active,Private,"Houston, Texas, United States","Advertising, Marketing",Softway is a digital agency in the business of transformation.,"389,606",,"369,116"
International Association of Drilling Contractors (IADC),https://www.crunchbase.com/organization/international-association-of-drilling-contractors-iadc,101-250,High,Active,Private,"Houston, Texas, United States","Association, Energy, Renewable Energy, Solar","Since 1940, IADC has exclusively represented the worldwide oil and gas drilling industry.","389,947",,"369,414"
"Tarantino Properties, Inc.",https://www.crunchbase.com/organization/tarantino-properties-inc,501-1000,High,Active,Private,"Houston, Texas, United States",Real Estate,"Tarantino Properties is a real estate company that provides brokerage, leasing, and renovation services throughout the United States.","391,006",,"370,429"
RediClinic,https://www.crunchbase.com/organization/rediclinic,251-500,High,Active,Private,"Houston, Texas, United States",Health Care,"RediClinic has provided high-quality, convenient and affordable healthcare.","391,875",,"371,255"
Continuum Energy,https://www.crunchbase.com/organization/continuum-energy,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas",Continuum Energy is an integrated energy products and services company.,"392,698",,"372,040"
Union Tech,https://www.crunchbase.com/organization/union-tech-8e52,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Engineering, Machinery Manufacturing, Manufacturing, Oil and Gas","Union Tech is a contract manufacturing firm that specializes in gantry machining, honing, deep-hole gun drilling, and robotic welding.","394,360",,"373,624"
"Odyssey Space Research, LLC",https://www.crunchbase.com/organization/odyssey-space-research-llc,101-250,High,Active,Private,"Houston, Texas, United States","CRM, Information Technology","Odyssey Space Researchis a defense & space company offering systems engineering, guidance, and navigation services.","394,480",,"373,743"
First Financial Group of America,https://www.crunchbase.com/organization/first-financial-group-of-america,101-250,High,Active,Private,"Houston, Texas, United States","Finance, Financial Services, Health Care, Insurance, Mental Health",First Financial Group of America provides supplemental health insurance benefits and financial services.,"396,002",,"375,171"
TE3CO,https://www.crunchbase.com/organization/te3co,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Energy Management, Manufacturing, Oil and Gas",TE3CO designs and manufactures automated safety systems for customers engaged in the hydraulic fracturing process.,"396,091",,"375,252"
Tucker Energy Services,https://www.crunchbase.com/organization/tucker-energy-services,1001-5000,High,Active,Private,"Houston, Texas, United States","Energy, Energy Management, Oil and Gas",Tucker Energy Services is a multinational oil and gas services corporation providing innovative technology solutions company.,"397,422",,"376,559"
Star Pipe Products,https://www.crunchbase.com/organization/star-pipe-products,1001-5000,High,Active,Private,"Houston, Texas, United States",Manufacturing,Star Pipe Products is a utilities company specializing in ductile iron pipe fittings and accessories.,"397,606",,"376,704"
Stellium,https://www.crunchbase.com/organization/stellium-inc,1001-5000,High,Active,Private,"Houston, Texas, United States","Consulting, Information Technology",Stellium is a specialized management consulting firm committed to designing and delivering solutions that improve businesses worldwide.,"398,369",,"377,434"
Tootsies,https://www.crunchbase.com/organization/tootsies,101-250,High,Active,Private,"Houston, Texas, United States","Fashion, Lifestyle, Retail, Web Design","Tootsies is a retail company that offers handbags, jewelry, and accessories.","400,669",,"379,620"
Twin Eagle,https://www.crunchbase.com/organization/twin-eagle,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Marketing","Twin Eagle provides wholesale marketing in power and gas, along with midstream services focused on creating value for our customers.","401,751",,"380,672"
Inrock,https://www.crunchbase.com/organization/inrock,251-500,High,Active,Private,"Houston, Texas, United States","Consumer Goods, Industrial Engineering, Machinery Manufacturing, Manufacturing","Inrock is a manufacturing company that offers and manufactures drilling tools, equipment and services with sales and operations facilities.","402,765",,"381,615"
Perry’s Restaurants,https://www.crunchbase.com/organization/perry-s-restaurants,1001-5000,High,Active,Private,"Houston, Texas, United States","Food and Beverage, Food Processing, Restaurants",Perry’s Restaurants is a shop that offers grill food processing services.,"405,676",,"384,435"
Russell & Smith Ford,https://www.crunchbase.com/organization/russell-smith-ford,251-500,High,Active,Private,"Houston, Texas, United States","Automotive, Sales, Technical Support",Russell & Smith Ford is a car dealership and service center.,"406,316",,"385,043"
Symmetry Energy Solutions,https://www.crunchbase.com/organization/symmetry-energy-solutions,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas, Professional Services",Symmetry Energy Solutions is an energy supplier providing over 1 trillion cubic feet of natural gas.,"406,541",,"385,238"
ABIP CPAs & Advisors,https://www.crunchbase.com/organization/abip-cpas-advisors,101-250,High,Active,Private,"Houston, Texas, United States","Accounting, Consulting, Finance","ABIP CPAs & Advisors is an accounting firm thatp rovides advisory, tax, accounting and assurance services.","408,610",,"387,206"
Vault Pressure Control,https://www.crunchbase.com/organization/vault-pressure-control,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Oil and Gas","Vault is a leader in wellhead product sales and service as well as rental of frac trees, valves, zipper manifolds, and flowback.","408,674",,"387,270"
First Service Credit Union,https://www.crunchbase.com/organization/first-service-credit-union,101-250,High,Active,Private,"Houston, Texas, United States",Financial Services,First Service Credit Union is a full service financial institution based in Texas.,"408,777",,"387,401"
UT Physicians,https://www.crunchbase.com/organization/ut-physicians,1001-5000,High,Active,Private,"Houston, Texas, United States","Health Care, Medical",UT Physicians is a clinical practice of the John P. and Kathrine G. McGovern Medical School that provides multi-specialty care.,"408,917",,"387,495"
Groves Industrial,https://www.crunchbase.com/organization/groves-industrial,101-250,High,Active,Private,"Houston, Texas, United States","Consumer Electronics, Hardware, Wholesale",Groves Industrial provides band saw services and supply chain solutions.,"409,314",,"387,879"
"InterLinc Mortgage Services, LLC",https://www.crunchbase.com/organization/interlinc-mortgage-services-llc,251-500,High,Active,Private,"Houston, Texas, United States","Financial Services, Mortgage",InterLinc Mortgage Services is a financial services company that specializes in mortgage services.,"409,953",,"388,494"
Slow Dough Bread,https://www.crunchbase.com/organization/slow-dough-bread,101-250,High,Active,Private,"Houston, Texas, United States","Bakery, Food and Beverage",Slow Dough Bread is a wholesale artisan bread bakery.,"410,468",,"388,985"
Hooli Software,https://www.crunchbase.com/organization/hooli-software,101-250,High,Active,Private,"Houston, Texas, United States","Information Technology, Mobile Apps, Product Design, Software, UX Design","Hooli Software is an IT company that provides UX design, mobile application, and product development services to organizations.","410,659",,"389,166"
Novum Energy,https://www.crunchbase.com/organization/novum-energy,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Logistics, Oil and Gas, Supply Chain Management","Novum Energy is an oil supply and trading company that delivers refined oil products such as gasoline, distillates, and fuel oil.","411,051",,"389,543"
United Way of Greater Houston,https://www.crunchbase.com/organization/united-way-of-greater-houston,251-500,High,Active,Private,"Houston, Texas, United States",Financial Services,"We transform individual lives and bring long-lasting, systemic change to tough issues, like family financial stability and academic success.","411,962",,"390,394"
GB Tech,https://www.crunchbase.com/organization/gb-tech,101-250,High,Active,Private,"Houston, Texas, United States","IT Infrastructure, Project Management, Quality Assurance, Software","GB Tech specializes in software quality, assurance, IT infrastructure, and project management services.","412,189",,"390,607"
"Rilco Manufacturing Company, Inc.",https://www.crunchbase.com/organization/rilco-manufacturing-company-inc,251-500,High,Active,Private,"Houston, Texas, United States","Manufacturing, Oil and Gas, Transportation","Rilco Manufacturing Company, Inc. is a world leader in the development of custom pipe supports systems and components.","413,550",,"391,930"
